Lag,Correlation
0,-0.5306915193214045
1,-0.28666187211599514
2,0.0020667575191733608
3,0.14354485581007714
4,-0.04152955788822855
5,-0.1518449201723368
6,-0.4601373583998514
7,-0.3979034045274921
8,-0.15317444893708285
9,-0.19013005405761743
